model,seed,hidden_dim,layers,dropout,lr,num_params,train_epochs,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
GCN,2,32,2,0.0,0.001,1378,50,0.8648710250854492,0.002785921096801758,0.0030410289764404297,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.7375,0.65,0.3611111111111111,0.43333333333333335,0.3939393939393939,0.6133333333333334
GCN,2,32,2,0.0,0.005,1378,50,0.9972789287567139,0.0019350051879882812,0.0023190975189208984,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.7125,0.75,0.65625,0.6333333333333333,0.6415770609318996,0.6666666666666666
GCN,2,32,2,0.2,0.001,1378,50,0.9218389987945557,0.001714944839477539,0.0020580291748046875,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.725,0.7,0.5490196078431372,0.5333333333333333,0.53125,0.6266666666666667
GCN,2,32,2,0.2,0.005,1378,50,0.9165308475494385,0.0016341209411621094,0.002123117446899414,0.5555555555555556,0.53125,0.5125,0.4461538461538461,0.7125,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.6933333333333334
GCN,2,32,2,0.75,0.001,1378,50,0.9033846855163574,0.0016999244689941406,0.002196073532104492,0.5555555555555556,0.2777777777777778,0.5,0.35714285714285715,0.675,0.75,0.375,0.5,0.42857142857142855,0.6133333333333333
GCN,2,32,2,0.75,0.005,1378,50,0.9515187740325928,0.001706838607788086,0.0019478797912597656,0.5555555555555556,0.53125,0.5125,0.4461538461538461,0.7125,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.6666666666666667
GCN,2,32,3,0.0,0.001,2434,50,1.0211567878723145,0.0019390583038330078,0.002290964126586914,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.725,0.75,0.65625,0.6333333333333333,0.6415770609318996,0.64
GCN,2,32,3,0.0,0.005,2434,50,1.0340099334716797,0.0020720958709716797,0.0023250579833984375,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.725,0.75,0.65625,0.6333333333333333,0.6415770609318996,0.72
GCN,2,32,3,0.2,0.001,2434,50,1.1301817893981934,0.001981019973754883,0.0023229122161865234,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.7000000000000001,0.75,0.65625,0.6333333333333333,0.6415770609318996,0.6666666666666666
GCN,2,32,3,0.2,0.005,2434,50,1.1399250030517578,0.0019860267639160156,0.0023632049560546875,0.5555555555555556,0.5357142857142857,0.525,0.5,0.725,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.72
GCN,2,32,3,0.75,0.001,2434,50,1.1199791431427002,0.002099275588989258,0.0024580955505371094,0.5555555555555556,0.2777777777777778,0.5,0.35714285714285715,0.7000000000000001,0.75,0.375,0.5,0.42857142857142855,0.6266666666666667
GCN,2,32,3,0.75,0.005,2434,50,1.255167007446289,0.0019168853759765625,0.0026390552520751953,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.7375,0.7,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.72
GCN,2,32,4,0.0,0.001,3490,50,1.314051866531372,0.0027151107788085938,0.003407716751098633,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.7125,0.7,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6666666666666666
GCN,2,32,4,0.0,0.005,3490,50,1.211874008178711,0.0022661685943603516,0.0026531219482421875,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.725,0.7,0.6373626373626373,0.6666666666666666,0.6428571428571428,0.72
GCN,2,32,4,0.2,0.001,3490,50,1.357861042022705,0.0022461414337158203,0.0028319358825683594,0.5555555555555556,0.5357142857142857,0.525,0.5,0.725,0.75,0.65625,0.6333333333333333,0.6415770609318996,0.6799999999999999
GCN,2,32,4,0.2,0.005,3490,50,1.4072010517120361,0.0024521350860595703,0.0031681060791015625,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.7375,0.7,0.6767676767676767,0.7333333333333334,0.6703296703296704,0.72
GCN,2,32,4,0.75,0.001,3490,50,1.3650760650634766,0.002251148223876953,0.002731800079345703,0.5555555555555556,0.2777777777777778,0.5,0.35714285714285715,0.725,0.75,0.375,0.5,0.42857142857142855,0.64
