params,model,test_accuracy,test_precision,test_recall,test_f1,test_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_inference_time_sec,val_inference_time_sec
"32,3,0.75,0.005",GCN,0.7833333333333333,0.7674603174603174,0.7347222222222222,0.7400732600732601,0.8447979797979798,0.7222222222222223,0.7824252136752138,0.6583333333333333,0.6617709127454255,0.7849358974358975,0.002386411031087167,0.002065976460774667
"32,4,0.75,0.005",GCN,0.7833333333333333,0.793049543049543,0.7791666666666667,0.7635164835164835,0.8402483164983163,0.7407407407407408,0.7654761904761904,0.6958333333333333,0.7045454545454546,0.7807692307692308,0.0035280386606852,0.0030967394510904335
"64,4,0.2,0.005",GCN,0.75,0.737797619047619,0.6925925925925926,0.6973755038271167,0.8578914141414141,0.7407407407407408,0.7777777777777777,0.6955128205128206,0.6918350168350168,0.7538461538461538,0.0035440921783446663,0.0029566287994384336
"64,3,0.0,0.005",GIN,0.8666666666666667,0.8615181115181114,0.8638888888888888,0.8502512889213657,0.9090277777777778,0.7592592592592592,0.7986111111111112,0.7455128205128205,0.7228371628371629,0.907371794871795,0.0028905073801675997,0.0023817221323648666
"64,3,0.2,0.001",GIN,0.8666666666666667,0.8564074814074814,0.8731481481481481,0.853459308971491,0.86746632996633,0.8148148148148149,0.8255772005772006,0.7916666666666666,0.8021484688151355,0.9105769230769231,0.002881209055582633,0.0029310385386148666
"64,4,0.2,0.005",GIN,0.7833333333333333,0.8124579124579124,0.8106481481481481,0.7714223649325951,0.9316666666666666,0.8148148148148149,0.8325396825396826,0.7916666666666666,0.7855443322109988,0.9291666666666667,0.002935568491617767,0.0028790632883707334
"64,4,0.75,0.001",GIN,0.7999999999999999,0.8305555555555556,0.8515151515151516,0.7972728069107125,0.8769107744107744,0.7962962962962963,0.7862535612535613,0.7871794871794872,0.7859668968802097,0.9365384615384617,0.0037961800893147337,0.0027631918589273666
