model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.09138894081115723,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.85625,0.014525890350341797,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9696969696969697,0.014003992080688477
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1832740306854248,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.84375,0.014829874038696289,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9696969696969697,0.024923086166381836
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.11229586601257324,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.8687499999999999,0.01298975944519043,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9696969696969697,0.012930154800415039
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1825728416442871,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.84375,0.02675008773803711,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9696969696969697,0.014671087265014648
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",100.0,0.11606097221374512,100,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.8562500000000001,0.0001900196075439453,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9292929292929294,8.392333984375e-05
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",100.0,0.10655474662780762,100,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.88125,0.0001900196075439453,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9494949494949495,8.702278137207031e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.005068063735961914,100,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.00035309791564941406,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,0.9696969696969697,0.00034999847412109375
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.004631996154785156,100,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.00032591819763183594,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,0.9797979797979798,0.0003108978271484375
