approach,train_time_sec,val_inference_time_sec,test_inference_time_sec,preprocess_time_sec,total_pipeline_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
GCN,1.3461216820610895,0.002401808897654164,0.002660764588250004,0.0,1.3461216820610895,0.6862139917695473,0.6930536643669813,0.6179131054131054,0.5956238037157815,0.7623308404558405,0.7402777777777778,0.7149167145689548,0.6759002057613168,0.6655475421024463,0.8226835484474373
GIN,1.41897361808353,0.0022914851153337927,0.0025899741384717684,0.0,1.41897361808353,0.7854938271604938,0.8087427864286525,0.7626602564102564,0.7576785156501556,0.9096509971509972,0.7981481481481482,0.8053244478172453,0.8044145155256266,0.7805706423841199,0.8895342312008978
LinearSVM,0.12638073166211442,0.00022889177004491667,0.00010236104329425039,636.4842409292856,636.6106216609478,0.8310185185185185,0.8359678515928516,0.8139022435897436,0.8173477395611655,0.9204727564102564,0.85,0.835269475894476,0.8454492845117846,0.832110898082517,0.9173595328282828
RBFSVM,0.012031942605972233,0.0007371604442596001,0.0005903442700703417,636.4842409292856,636.4962728718916,0.7199074074074074,0.7273849550503962,0.6666666666666666,0.6488025970272348,0.8877003205128206,0.85,0.8489216359620771,0.8400462962962963,0.8298547044406192,0.9590935395622896
RandomForest,0.14862119654814399,0.018906647960344896,0.018107185761133786,636.4842409292856,636.6328621258339,0.8356481481481483,0.8565760628260629,0.8098958333333334,0.82088227124459,0.9098557692307693,0.7822916666666666,0.7696358397185604,0.7427398989898989,0.7463826047180694,0.9002438446969697
