family,approach,support_ratio,seed,config_label,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,preprocess_time_sec,total_pipeline_time_sec
GIN,GIN,,1,GIN h=32 L=3 d=0.75 lr=0.001,1.0082342624664309,0.0017640590667724,0.0018210411071777,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.9125,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.0082342624664309
GIN,GIN,,1,GIN h=32 L=3 d=0.75 lr=0.005,0.978193998336792,0.001589298248291,0.0018339157104492,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8875,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,0.978193998336792
GIN,GIN,,1,GIN h=32 L=4 d=0.0 lr=0.001,1.0313222408294678,0.0018391609191894,0.0019707679748535,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.9125,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.0313222408294678
GIN,GIN,,1,GIN h=32 L=4 d=0.0 lr=0.005,1.0609030723571775,0.0017850399017333,0.0019550323486328,0.7777777777777778,0.8571428571428572,0.75,0.75,0.9125,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,0.9898989898989898,0.0,1.0609030723571775
GIN,GIN,,1,GIN h=32 L=4 d=0.2 lr=0.001,1.1576898097991943,0.0017940998077392,0.0019919872283935,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.9125,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.1576898097991943
GIN,GIN,,1,GIN h=32 L=4 d=0.2 lr=0.005,1.1562128067016602,0.0017778873443603,0.0019607543945312,0.7777777777777778,0.8571428571428572,0.75,0.75,0.9375,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,1.0,0.0,1.1562128067016602
GIN,GIN,,1,GIN h=32 L=4 d=0.75 lr=0.001,1.1950199604034424,0.0017619132995605,0.0019299983978271,0.7777777777777778,0.775,0.775,0.775,0.9,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.1950199604034424
GIN,GIN,,1,GIN h=32 L=4 d=0.75 lr=0.005,1.4378530979156494,0.0017871856689453,0.0021419525146484,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8875,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.4378530979156494
GIN,GIN,,1,GIN h=64 L=2 d=0.0 lr=0.001,0.933324098587036,0.001763105392456,0.0017609596252441,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.8625,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9797979797979798,0.0,0.933324098587036
GIN,GIN,,1,GIN h=64 L=2 d=0.0 lr=0.005,0.9315669536590576,0.0016281604766845,0.0017440319061279,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.8375,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,1.0,0.0,0.9315669536590576
GIN,GIN,,1,GIN h=64 L=2 d=0.2 lr=0.001,1.1790258884429932,0.0016109943389892,0.0018129348754882,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.9125,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,0.9898989898989898,0.0,1.1790258884429932
GIN,GIN,,1,GIN h=64 L=2 d=0.2 lr=0.005,1.324601173400879,0.002288818359375,0.0029239654541015,0.6111111111111112,0.7941176470588236,0.5625,0.4814814814814814,0.8500000000000001,0.75,0.84375,0.7222222222222222,0.7150997150997151,1.0,0.0,1.324601173400879
GIN,GIN,,1,GIN h=64 L=2 d=0.75 lr=0.001,1.3622541427612305,0.003469705581665,0.0024089813232421,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.9,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.3622541427612305
GIN,GIN,,1,GIN h=64 L=2 d=0.75 lr=0.005,1.3386361598968506,0.0021488666534423,0.0024816989898681,0.7777777777777778,0.8571428571428572,0.75,0.75,0.9125,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.3386361598968506
GIN,GIN,,1,GIN h=64 L=3 d=0.0 lr=0.001,1.543139934539795,0.0033259391784667,0.0026319026947021,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9375,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,0.9898989898989898,0.0,1.543139934539795
GIN,GIN,,1,GIN h=64 L=3 d=0.0 lr=0.005,1.5706229209899902,0.00248384475708,0.0030121803283691,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.8625,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,1.0,0.0,1.5706229209899902
GIN,GIN,,1,GIN h=64 L=3 d=0.2 lr=0.001,2.11499285697937,0.0029530525207519,0.0037009716033935,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,2.11499285697937
GIN,GIN,,1,GIN h=64 L=3 d=0.2 lr=0.005,1.9644339084625244,0.0035979747772216,0.0029041767120361,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.9375,0.75,0.84375,0.7222222222222222,0.7150997150997151,1.0,0.0,1.9644339084625244
GIN,GIN,,1,GIN h=64 L=3 d=0.75 lr=0.001,1.941709041595459,0.0025849342346191,0.002777099609375,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.9,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.941709041595459
GIN,GIN,,1,GIN h=64 L=3 d=0.75 lr=0.005,1.9773550033569336,0.0029971599578857,0.0030550956726074,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.9125,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,0.9898989898989898,0.0,1.9773550033569336
