family,approach,config_label,train_time_sec_mean,train_time_sec_std,val_inference_time_sec_mean,val_inference_time_sec_std,test_inference_time_sec_mean,test_inference_time_sec_std,preprocess_time_sec_mean,preprocess_time_sec_std,total_pipeline_time_sec_mean,total_pipeline_time_sec_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std
Classic,RandomForest,RandomForest support=0.40,0.14193256696065265,0.045188429221091723,0.01743068297704054,0.005618081792516387,0.01803469657897944,0.006121779454199601,76.82379722595215,1.4793728997516262,76.9657297929128,1.479657575963933,0.8055555555555555,0.10984122813601792,0.8165584415584416,0.11795769537706993,0.78125,0.09616214999109107,0.7913259579926247,0.10752228210868021,0.8622596153846155,0.06853357297949823,0.7583333333333333,0.12216481663818934,0.7378582066082067,0.15856588273661715,0.7251262626262626,0.14891894934850586,0.7255993036044187,0.15497668054336491,0.8708538510101009,0.07785613932191174
GCN,GCN,GCN h=32 L=2 d=0.0 lr=0.001,0.9979015986124674,0.11785323131225453,0.003469467163085867,0.0011957249861343619,0.0035069783528645336,0.0005716811375336457,0.0,0.0,0.9979015986124674,0.11785323131225453,0.6481481481481481,0.13981174880131017,0.7093954248366012,0.2416145010582351,0.5625,0.0875,0.5318414918414919,0.10501264587700553,0.764423076923077,0.05779638048903346,0.6666666666666666,0.028867513459481298,0.6284722222222222,0.23557434902754817,0.5634259259259259,0.11399328999817951,0.5326416878141016,0.1268804020388329,0.7957744107744108,0.15845327029374398
GCN,GCN,GCN h=32 L=2 d=0.0 lr=0.005,0.9799883365631104,0.08188191035888874,0.0018274784088134332,9.475541430079106e-05,0.0021437009175617667,0.0001552458936148422,0.0,0.0,0.9799883365631104,0.08188191035888874,0.6666666666666666,0.16666666666666669,0.717361111111111,0.2504018760653303,0.5958333333333333,0.12140668570277885,0.5765048744359089,0.16169315882021615,0.7474358974358974,0.13094704163146098,0.7333333333333334,0.028867513459481322,0.7301587301587302,0.09985034034364756,0.674074074074074,0.04490502093697089,0.6756688154537617,0.03705097869101614,0.8067129629629629,0.1218909916172995
GCN,GCN,GCN h=32 L=2 d=0.2 lr=0.001,0.9416175683339437,0.05024480295067057,0.0020944277445475,0.00034415491346920555,0.0021034081776936334,0.00011213541650170363,0.0,0.0,0.9416175683339437,0.05024480295067057,0.6296296296296297,0.17858612520357323,0.5391203703703703,0.327318661903108,0.5541666666666667,0.12767961205037134,0.500680698611733,0.20383247110774386,0.7602564102564102,0.06106589385659497,0.7000000000000001,0.1,0.7160057005258244,0.14496126463073794,0.6199074074074074,0.13117710595821208,0.592712148962149,0.16556595535011712,0.7933796296296296,0.14488822941368892
GCN,GCN,GCN h=32 L=2 d=0.2 lr=0.005,0.9355529944101969,0.03796268060734834,0.0017663637797037668,0.00011452665031704805,0.002075433731079067,4.804533688634063e-05,0.0,0.0,0.9355529944101969,0.03796268060734834,0.7037037037037037,0.13981174880131017,0.7569444444444443,0.1988283097530612,0.6333333333333333,0.10483121354507605,0.61762375555479,0.15162365362141567,0.7474358974358974,0.13094704163146098,0.7666666666666666,0.028867513459481298,0.7768687603246427,0.05794491976997319,0.7060185185185186,0.0342561309883072,0.7119776828110161,0.02307561321655117,0.8223358585858587,0.11391430865391937
GCN,GCN,GCN h=32 L=2 d=0.75 lr=0.001,0.9055801232655843,0.006337848286147508,0.0018006960550943666,0.00012459836454207973,0.0021007061004638,0.00010255463702201678,0.0,0.0,0.9055801232655843,0.006337848286147508,0.6111111111111112,0.09622504486493756,0.3055555555555556,0.04811252243246878,0.5,0.0,0.37788018433179715,0.03591810430442373,0.7384615384615385,0.07115384615384612,0.6333333333333333,0.10408329997330665,0.31666666666666665,0.052041649986653324,0.5,0.0,0.386136712749616,0.03810706282339713,0.7991414141414142,0.16181480059267722
GCN,GCN,GCN h=32 L=2 d=0.75 lr=0.005,0.9242822329203287,0.023996627018820788,0.0017589728037515665,4.7015232995579945e-05,0.0019673506418863332,3.1078969112420924e-05,0.0,0.0,0.9242822329203287,0.023996627018820788,0.7037037037037037,0.13981174880131017,0.7569444444444443,0.1988283097530612,0.6333333333333333,0.10483121354507605,0.61762375555479,0.15162365362141567,0.771474358974359,0.09153489273370673,0.7666666666666666,0.028867513459481298,0.785171568627451,0.051864013430134026,0.6990740740740741,0.028912027770362888,0.7058998100664767,0.015934702942377504,0.8201809764309763,0.13682768517051971
GCN,GCN,GCN h=32 L=3 d=0.0 lr=0.001,1.0368579228719075,0.0354250878303932,0.0020728111267089666,0.00011975568482674777,0.002350250879923467,6.396390281815094e-05,0.0,0.0,1.0368579228719075,0.0354250878303932,0.6851851851851851,0.16972502573910522,0.7243055555555555,0.25461310973347023,0.6166666666666667,0.13365845776954532,0.6058755038065383,0.17160189854312385,0.7807692307692308,0.0965951411913412,0.7333333333333334,0.028867513459481322,0.7301587301587302,0.09985034034364756,0.674074074074074,0.04490502093697089,0.6756688154537617,0.03705097869101614,0.8113973063973065,0.15007001336261472
GCN,GCN,GCN h=32 L=3 d=0.0 lr=0.005,1.03793732325236,0.013538172384485774,0.0021077791849771666,5.163418421181901e-05,0.0023896694183349002,5.6047639169749104e-05,0.0,0.0,1.03793732325236,0.013538172384485774,0.7407407407407408,0.13981174880131017,0.7914529914529914,0.16681124564053076,0.6916666666666668,0.10631125685144227,0.6968694349129132,0.1320113772024815,0.7557692307692307,0.12404964171438569,0.75,0.050000000000000044,0.737797619047619,0.11290828846594211,0.6925925925925926,0.07563176983948941,0.6973755038271167,0.07317143387322139,0.8312247474747475,0.09886070712406474
GCN,GCN,GCN h=32 L=3 d=0.2 lr=0.001,1.120721975962321,0.008194157991460475,0.0020519892374673667,6.36556770278976e-05,0.002332607905069967,3.1651656541312567e-05,0.0,0.0,1.120721975962321,0.008194157991460475,0.6851851851851851,0.16972502573910522,0.7243055555555555,0.25461310973347023,0.6166666666666667,0.13365845776954532,0.6058755038065383,0.17160189854312385,0.7519230769230769,0.06941748326069239,0.75,0.050000000000000044,0.7631010737628384,0.0928003404990316,0.6902777777777778,0.07172639629819644,0.6882179946696075,0.07967845418147118,0.820391414141414,0.13365474525141866
