family,approach,config_label,train_time_sec_mean,train_time_sec_std,val_inference_time_sec_mean,val_inference_time_sec_std,test_inference_time_sec_mean,test_inference_time_sec_std,preprocess_time_sec_mean,preprocess_time_sec_std,total_pipeline_time_sec_mean,total_pipeline_time_sec_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std
GIN,GIN,GIN h=32 L=4 d=0.0 lr=0.001,1.1964643001556396,0.26846338172648987,0.0019400119781493666,0.00024553676012774257,0.0022396246592203332,0.00044742283407584957,0.0,0.0,1.1964643001556396,0.26846338172648987,0.8703703703703703,0.11564811108145186,0.8708874458874458,0.1161214057029435,0.8666666666666667,0.11814539065631523,0.8678571428571429,0.11753201908503097,0.9375,0.054486236794258444,0.8166666666666668,0.15275252316519464,0.8239898989898989,0.15794379611220444,0.8398148148148148,0.12596336589391818,0.8083799438921259,0.16500360212548745,0.8738552188552188,0.10336172103986145
Classic,LinearSVM,LinearSVM support=0.20,0.13215072949727372,0.012262812027394609,0.0002987782160440667,0.00015189717966277534,0.00010859966278075051,3.4729576038011316e-05,790.8810617129008,68.48976240197685,791.0132124423981,68.49782152875396,0.8611111111111112,0.07657804862272348,0.8695859695859696,0.08218739346838591,0.8415064102564102,0.08737716794058706,0.8473106804628543,0.0846050225217355,0.9621794871794872,0.027066354107172074,0.8250000000000001,0.13322912594474223,0.821802503052503,0.14618256215559042,0.825462962962963,0.13811357674864747,0.8064036257386641,0.15146483323684806,0.9268055555555555,0.06567434212051895
Classic,RandomForest,RandomForest support=0.20,0.1454936067263285,0.04704046864939629,0.01838084061940505,0.006307123787870393,0.018125255902608207,0.005596420385434152,790.8810617129008,65.30242619660433,791.0265553196272,65.30426351986566,0.8518518518518517,0.07237099414210324,0.8801892551892552,0.07367756222647383,0.8250000000000001,0.05935256753273006,0.8371858951569097,0.0693486766254823,0.9391426282051283,0.03420592272051345,0.775,0.14061552998416382,0.7592338217338218,0.1803884385309882,0.7402777777777777,0.16585238795491586,0.7421235077085461,0.17298808477158623,0.9051215277777778,0.0857123236028705
GCN,GCN,GCN h=32 L=3 d=0.0 lr=0.005,1.03793732325236,0.013538172384485774,0.0021077791849771666,5.163418421181901e-05,0.0023896694183349002,5.6047639169749104e-05,0.0,0.0,1.03793732325236,0.013538172384485774,0.7407407407407408,0.13981174880131017,0.7914529914529914,0.16681124564053076,0.6916666666666668,0.10631125685144227,0.6968694349129132,0.1320113772024815,0.7557692307692307,0.12404964171438569,0.75,0.050000000000000044,0.737797619047619,0.11290828846594211,0.6925925925925926,0.07563176983948941,0.6973755038271167,0.07317143387322139,0.8312247474747475,0.09886070712406474
Classic,RBFSVM,RBFSVM support=0.40,0.0049177805582681835,0.0004984821685340599,0.00034848848978675005,2.9354610814517947e-05,0.0003258387247720834,3.196931485022894e-05,76.82379722595215,1.5515793870026402,76.82871500651042,1.5515429290042169,0.7314814814814815,0.12381121963293908,0.7788964303670186,0.16446727354205554,0.6687500000000001,0.11173349990043271,0.6696468386685778,0.12931490298130724,0.8591346153846154,0.10100365421944135,0.8833333333333333,0.02581988897471613,0.8721764346764348,0.05902308883240879,0.8726851851851851,0.030639615014396795,0.8678596307906652,0.043336673631805364,0.9406102693602693,0.0316842465929314
