model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.23841309547424316,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9538461538461539,0.015188932418823242,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333333,0.015640974044799805
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.19577407836914062,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9538461538461539,0.027441978454589844,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.028087139129638672
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.10536909103393555,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9384615384615385,0.01440882682800293,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333333,0.01504373550415039
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.29822301864624023,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9538461538461539,0.036123037338256836,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.04369091987609863
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",800.0,0.16370368003845215,800,0,0.8888888888888888,0.8571428571428572,0.9230769230769231,0.875,0.9230769230769231,0.0003001689910888672,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9375,0.00010895729064941406
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",800.0,0.14410090446472168,800,0,0.9444444444444444,0.9166666666666667,0.9615384615384616,0.9345454545454546,0.9692307692307692,0.0002281665802001953,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.9479166666666667,9.989738464355469e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.02567601203918457,800,0,0.7777777777777778,0.8823529411764706,0.6,0.6,1.0,0.001207113265991211,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9270833333333333,0.0011529922485351562
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.02066493034362793,800,0,1.0,1.0,1.0,1.0,1.0,0.0008440017700195312,0.8,0.8,0.8125,0.797979797979798,0.9375,0.0008800029754638672
