model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.17602324485778809,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.925,0.016679763793945312,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.027427196502685547
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.5774760246276855,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.03172802925109863,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.04217195510864258
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.28982114791870117,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.91875,0.01636815071105957,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.017370939254760742
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.2978332042694092,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.027877092361450195,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.029018878936767578
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",303.0,0.14099502563476562,303,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.95,0.0012760162353515625,0.75,0.75,0.8333333333333333,0.7333333333333334,0.8666666666666667,0.0002357959747314453
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",303.0,0.1378498077392578,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.925,0.00030684471130371094,0.75,0.6785714285714286,0.7,0.6865203761755485,0.8666666666666667,0.0001270771026611328
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.01909613609313965,303,2,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.8,0.0007631778717041016,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.0007119178771972656
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.015091896057128906,303,2,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.8,0.0008680820465087891,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.0014488697052001953
