model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.10305094718933105,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.014667034149169922,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8802083333333334,0.012302160263061523
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.20326805114746094,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.027806997299194336,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875,0.02658987045288086
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.09497690200805664,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.014091014862060547,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8697916666666667,0.012452840805053711
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.2209479808807373,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.02803778648376465,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875,0.025384187698364258
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",177.0,0.13333392143249512,177,0,1.0,1.0,1.0,1.0,1.0,0.00019216537475585938,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.8958333333333334,8.797645568847656e-05
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",177.0,0.11567997932434082,177,0,0.8333333333333334,0.90625,0.7,0.7339901477832512,1.0,0.0002391338348388672,0.85,0.9,0.8125,0.829059829059829,0.9166666666666667,9.107589721679688e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.007367849349975586,177,0,0.7777777777777778,0.8823529411764706,0.6,0.6,1.0,0.0004291534423828125,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9375,0.000560760498046875
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.007266044616699219,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.0006701946258544922,0.8,0.8,0.8125,0.797979797979798,0.9375,0.0004551410675048828
