model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.10271477699279785,100,2,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.79375,0.014674901962280273,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.014698028564453125
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1750342845916748,100,2,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.78125,0.014523029327392578,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.7866666666666666,0.014265060424804688
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.09729409217834473,100,2,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.79375,0.01443791389465332,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.7866666666666666,0.013738870620727539
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.19742202758789062,100,2,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.78125,0.015074014663696289,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.7866666666666666,0.015115737915039062
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",100.0,0.11323714256286621,100,2,0.5555555555555556,0.5416666666666667,0.5375,0.5324675324675324,0.7,0.00017213821411132812,0.75,0.6785714285714286,0.7,0.6865203761755485,0.8533333333333333,7.390975952148438e-05
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",100.0,0.10137033462524414,100,2,0.6666666666666666,0.7857142857142857,0.7,0.6493506493506493,0.75,0.0001552104949951172,0.45,0.5595238095238095,0.5666666666666667,0.44862155388471175,0.42666666666666664,7.700920104980469e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.005000114440917969,100,2,0.5555555555555556,0.5357142857142857,0.525,0.5,0.775,0.0003731250762939453,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.8933333333333333,0.0003688335418701172
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.004055023193359375,100,2,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.7,0.00028705596923828125,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9466666666666667,0.0002810955047607422
