model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.1583249568939209,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.85625,0.01500391960144043,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9696969696969697,0.01578378677368164
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.3123338222503662,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.84375,0.027762174606323242,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9696969696969697,0.06009411811828613
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.15616893768310547,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.8687499999999999,0.015347003936767578,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9696969696969697,0.0166778564453125
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.44253015518188477,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.84375,0.05804109573364258,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9696969696969697,0.05890703201293945
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",100.0,0.14951300621032715,100,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.8562500000000001,0.000308990478515625,0.8,0.8131868131868132,0.7878787878787878,0.7916666666666667,0.9292929292929294,0.00013208389282226562
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",100.0,0.12164688110351562,100,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.8812500000000001,0.00026106834411621094,0.8,0.8131868131868132,0.7878787878787878,0.7916666666666667,0.9393939393939393,9.894371032714844e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.005552768707275391,100,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.00043702125549316406,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,0.9696969696969697,0.00038886070251464844
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.005779266357421875,100,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.0004382133483886719,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,0.9797979797979798,0.0004169940948486328
