model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.10808777809143066,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.8375,0.014632940292358398,0.95,0.9583333333333333,0.9444444444444444,0.948849104859335,1.0,0.014437198638916016
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.18342995643615723,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.83125,0.02788996696472168,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,1.0,0.014872074127197266
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1523897647857666,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.83125,0.016004085540771484,0.95,0.9583333333333333,0.9444444444444444,0.948849104859335,1.0,0.026681900024414062
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.3228127956390381,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.83125,0.027424097061157227,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,1.0,0.07074499130249023
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",177.0,0.45464396476745605,177,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.91875,0.0044879913330078125,1.0,1.0,1.0,1.0,1.0,0.00031375885009765625
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",177.0,0.19562411308288574,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.91875,0.0003039836883544922,1.0,1.0,1.0,1.0,1.0,0.00011610984802246094
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.01115107536315918,177,1,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.86875,0.000492095947265625,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,1.0,0.00043010711669921875
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.008174657821655273,177,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.0004589557647705078,0.9,0.9230769230769231,0.8888888888888888,0.8958333333333333,1.0,0.0003762245178222656
