params,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
LinearSVM 1,0.9,0.8810286935286934,0.8986111111111111,0.8859126984126983,0.9169444444444445,0.0001157124837239
LinearSVM 2,0.8666666666666667,0.8536315536315536,0.8357744107744107,0.8408110408110409,0.9105260942760943,0.00010037422180169998
RBFSVM 1,0.8166666666666668,0.8389939309056956,0.798611111111111,0.7835342339652684,0.962361111111111,0.0010577042897541666
RBFSVM 2,0.85,0.8351953601953602,0.8523148148148149,0.8362445549146317,0.9658333333333333,0.0008412996927896667
RandomForest 1,0.8166666666666668,0.815826330532213,0.7569444444444443,0.7692399267399268,0.930486111111111,0.014082113901774065
RandomForest 2,0.8166666666666668,0.815826330532213,0.7569444444444443,0.7692399267399268,0.9339583333333333,0.018321037292480434
RandomForest 3,0.8166666666666668,0.815826330532213,0.7569444444444443,0.7692399267399268,0.9349305555555555,0.013005256652831998
RandomForest 4,0.8166666666666668,0.815826330532213,0.7569444444444443,0.7692399267399268,0.9339583333333333,0.0227112770080566
