params,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
LinearSVM 1,0.7999999999999999,0.7783212158212157,0.7880892255892257,0.778650590671051,0.9057365319865319,0.00013264020284014426
LinearSVM 2,0.8333333333333334,0.806998556998557,0.8177188552188553,0.8106858632478176,0.8823316498316499,8.495648701985677e-05
RBFSVM 1,0.8833333333333333,0.8721764346764348,0.8726851851851851,0.8678596307906652,0.9300378787878788,0.00035293896992993337
RBFSVM 2,0.8833333333333333,0.8721764346764348,0.8726851851851851,0.8678596307906652,0.9511826599326598,0.0002987384796142333
RandomForest 1,0.7666666666666666,0.7453287453287453,0.7343855218855219,0.7343397343397343,0.872885101010101,0.0140919685363769
RandomForest 2,0.75,0.7303876678876678,0.7158670033670034,0.7168588728691031,0.8701767676767677,0.0216143131256103
RandomForest 3,0.7666666666666666,0.7453287453287453,0.7343855218855219,0.7343397343397343,0.8701767676767677,0.013384739557901967
RandomForest 4,0.75,0.7303876678876678,0.7158670033670034,0.7168588728691031,0.8701767676767677,0.0230477650960286
