params,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
LinearSVM 1,0.8666666666666667,0.8672161172161172,0.8888888888888888,0.8577777777777778,0.9250694444444445,0.00011865297953285573
LinearSVM 2,0.7833333333333333,0.7763888888888889,0.762037037037037,0.7550294736995505,0.9285416666666667,9.854634602864531e-05
RBFSVM 1,0.8166666666666668,0.8389939309056956,0.798611111111111,0.7835342339652684,0.9640972222222222,0.0010465780893961
RBFSVM 2,0.85,0.8402319902319904,0.8449074074074074,0.8352417856728201,0.9675694444444444,0.0004416306813557333
RandomForest 1,0.7833333333333333,0.7651098901098901,0.749537037037037,0.7509594696295464,0.9038194444444446,0.014172633488972968
RandomForest 2,0.7666666666666666,0.7533577533577533,0.7310185185185185,0.7332875457875457,0.9072916666666666,0.0219604174296061
RandomForest 3,0.7833333333333333,0.7651098901098901,0.749537037037037,0.7509594696295464,0.9020833333333332,0.014405568440755167
RandomForest 4,0.7666666666666666,0.7533577533577533,0.7310185185185185,0.7332875457875457,0.9072916666666666,0.0219624042510986
