GraphIndex,Fidelity+,Fidelity-,Sparsity,Runtime
1,1.0,0.0,0.4653828740119934,0.5167832374572754
2,1.0,0.0,0.459683358669281,0.484752893447876
3,1.0,0.0,0.4344506859779358,0.5091943740844727
4,1.0,0.0,0.43517953157424927,0.4940497875213623
5,1.0,0.0,0.45833298563957214,0.5269627571105957
