GraphIndex,Fidelity+,Fidelity-,Sparsity,Runtime
1,1.0,0.0,0.45803067088127136,0.6046726703643799
2,1.0,0.0,0.45377594232559204,0.5863075256347656
3,1.0,0.0,0.4512001872062683,0.5750224590301514
4,1.0,0.0,0.45007196068763733,0.556624174118042
5,1.0,0.0,0.4470467269420624,0.5867414474487305
