model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.11883902549743652,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9538461538461539,0.014989852905273438,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333333,0.014467000961303711
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.17906904220581055,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9538461538461539,0.014935970306396484,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.014618158340454102
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.10872602462768555,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9384615384615385,0.014593839645385742,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.9114583333333333,0.014015913009643555
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.18932199478149414,800,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,0.9538461538461539,0.02623891830444336,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.921875,0.014444112777709961
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",800.0,0.14786601066589355,800,0,0.8333333333333334,0.7916666666666666,0.823076923076923,0.8036363636363637,0.9230769230769231,0.00024890899658203125,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9375,0.0001380443572998047
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",800.0,0.14232420921325684,800,0,0.8333333333333334,0.8035714285714286,0.7615384615384615,0.7777777777777777,0.9692307692307692,0.0002181529998779297,0.9,0.9285714285714286,0.875,0.8901098901098901,0.96875,0.00010085105895996094
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.02498912811279297,800,0,0.7777777777777778,0.8823529411764706,0.6,0.6,1.0,0.0012869834899902344,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9270833333333333,0.0010881423950195312
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.020801067352294922,800,0,1.0,1.0,1.0,1.0,1.0,0.0008819103240966797,0.8,0.8,0.8125,0.797979797979798,0.9375,0.0008399486541748047
