model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.21083593368530273,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.01303410530090332,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8802083333333334,0.01473689079284668
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.2052922248840332,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.025178909301757812,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875,0.025892257690429688
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.09994292259216309,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.013690948486328125,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.8697916666666667,0.014704227447509766
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.18973374366760254,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.026762008666992188,0.8,0.8095238095238095,0.7708333333333333,0.7802197802197802,0.875,0.026946067810058594
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",177.0,0.13328003883361816,177,0,1.0,1.0,1.0,1.0,1.0,0.000186920166015625,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.8958333333333334,8.392333984375e-05
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",177.0,0.11282896995544434,177,0,1.0,1.0,1.0,1.0,1.0,0.0001766681671142578,0.85,0.8434343434343434,0.8541666666666667,0.8465473145780051,0.9270833333333333,8.296966552734375e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.007519960403442383,177,0,0.7777777777777778,0.8823529411764706,0.6,0.6,1.0,0.0004417896270751953,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9375,0.0003819465637207031
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.006362199783325195,177,0,0.9444444444444444,0.9642857142857143,0.9,0.9259259259259258,1.0,0.0003612041473388672,0.8,0.8,0.8125,0.797979797979798,0.9375,0.0003268718719482422
