model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.09612798690795898,177,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.8875,0.015216827392578125,0.65,0.6041666666666667,0.6333333333333333,0.6011396011396011,0.8,0.0146331787109375
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.19157886505126953,177,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.88125,0.014209985733032227,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.01464080810546875
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.10199379920959473,177,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.8875,0.013262748718261719,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.013511180877685547
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.19262313842773438,177,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.88125,0.029018878936767578,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.02750682830810547
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",177.0,0.11353182792663574,177,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9,0.0001800060272216797,0.85,0.8125,0.9,0.829059829059829,0.92,8.106231689453125e-05
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",177.0,0.10518813133239746,177,2,0.7222222222222222,0.7207792207792207,0.7125,0.7142857142857142,0.8500000000000001,0.00018525123596191406,0.8,0.7472527472527473,0.8,0.7619047619047619,0.9066666666666667,8.797645568847656e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0072858333587646484,177,2,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.8,0.00042819976806640625,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.0003628730773925781
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.006500959396362305,177,2,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.8,0.00043702125549316406,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.0003008842468261719
