model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.09204220771789551,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.9125000000000001,0.014632940292358398,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.88,0.014451265335083008
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.20002102851867676,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.91875,0.014313936233520508,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.88,0.01440119743347168
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.09955000877380371,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.9125000000000001,0.014334917068481445,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.8933333333333333,0.012346982955932617
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.21455097198486328,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.91875,0.027404069900512695,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.88,0.026860713958740234
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",800.0,0.14388203620910645,800,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.8625,0.0002028942108154297,0.8,0.7472527472527473,0.8,0.7619047619047619,0.8133333333333335,0.0001049041748046875
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",800.0,0.13215208053588867,800,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.8875,0.0001971721649169922,0.8,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.8133333333333334,0.00010013580322265625
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.02516007423400879,800,2,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.8125000000000001,0.0010848045349121094,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.0010662078857421875
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.02043008804321289,800,2,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.8,0.0008311271667480469,0.8,0.7472527472527473,0.8,0.7619047619047619,0.9600000000000001,0.0007998943328857422
