model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.09893608093261719,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.925,0.015234231948852539,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.01460576057434082
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.18496012687683105,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.014515876770019531,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.026733875274658203
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.10340523719787598,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.91875,0.013059854507446289,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.014435052871704102
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.18267488479614258,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.02749490737915039,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.025793075561523438
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",303.0,0.12672090530395508,303,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.95,0.0001900196075439453,0.75,0.75,0.8333333333333333,0.7333333333333334,0.8533333333333333,8.916854858398438e-05
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",303.0,0.11790013313293457,303,2,0.7777777777777778,0.775,0.775,0.775,0.95,0.0002200603485107422,0.65,0.6041666666666667,0.6333333333333333,0.6011396011396011,0.8533333333333333,9.965896606445312e-05
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.012503862380981445,303,2,0.5,0.43333333333333335,0.4625,0.4109090909090909,0.8,0.0007050037384033203,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.0009448528289794922
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.009290933609008789,303,2,0.6111111111111112,0.6076923076923078,0.5875,0.5785953177257526,0.8,0.00045013427734375,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.9600000000000001,0.00039386749267578125
