support,n_features,svm_accuracy,svm_f1,svm_roc_auc,rf_accuracy,rf_f1,rf_roc_auc
19,40220,0.7368421052631579,0.7727272727272727,0.8338461538461539,0.7368421052631579,0.782608695652174,0.8615384615384616
38,4751,0.7105263157894737,0.7659574468085107,0.8384615384615384,0.7631578947368421,0.8085106382978724,0.8538461538461538
57,637,0.7105263157894737,0.7659574468085107,0.7292307692307693,0.7368421052631579,0.7916666666666667,0.8030769230769231
76,110,0.7368421052631579,0.8076923076923077,0.7923076923076923,0.7368421052631579,0.8076923076923077,0.7984615384615384
94,74,0.6578947368421053,0.7796610169491526,0.5846153846153845,0.6578947368421053,0.7796610169491526,0.5323076923076924
