model_type,hidden_channels,dropout,lr,accuracy,f1,roc_auc
GCN,64,0.5,0.01,0.6842105263157895,0.8064516129032258,0.7015384615384616
GraphSAGE,64,0.5,0.01,0.6842105263157895,0.793103448275862,0.6984615384615385
GIN,64,0.5,0.01,0.7894736842105263,0.8461538461538461,0.8338461538461538
